Name,Class,Role,Difficulty,Tier,Score,Trend,Win %,Role %,Pick %,Ban %,KDA
Aatrox,Fighter,TOP,2,A,58.25,6.52,0.4997,0.9462,0.0443,0.0203,1.97
Ahri,Mage,MID,2,A,53.21,-0.24,0.4993,0.9347,0.0462,0.0104,2.56
Akali,Assassin,MID,2,S,65.3,6.51,0.4859,0.6565,0.0816,0.1288,2.34
Alistar,Tank,SUPPORT,1,B,46.08,-2.74,0.4992,0.9855,0.0365,0.0084,2.51
Amumu,Tank,JUNGLE,1,B,45.69,1.72,0.5027,0.8311,0.0313,0.0151,2.62
Anivia,Mage,MID,3,A,53.38,-1.26,0.5197,0.8216,0.0332,0.0303,2.66
Annie,Mage,MID,1,A,48.81,6.23,0.5245,0.85,0.0217,0.0071,2.39
Aphelios,Marksman,ADC,3,C,35.96,-1.67,0.4736,0.9834,0.0579,0.0146,2.03
Ashe,Marksman,ADC,1,B,43.08,-9.95,0.4966,0.934,0.0603,0.0111,2.32
Aurelion Sol,Mage,MID,3,B,42.15,-2.74,0.5081,0.9123,0.0089,0.0025,2.55
Azir,Mage,MID,3,D,32.69,2.09,0.4667,0.9068,0.0112,0.0021,2.1
Bard,Support,SUPPORT,3,A,49.81,2.27,0.5023,0.9867,0.0405,0.01,2.97
Blitzcrank,Tank,SUPPORT,1,S,67.8,-0.81,0.5187,0.9949,0.0861,0.1823,2.44
Brand,Mage,SUPPORT,2,B,45.21,-4.17,0.4918,0.7904,0.0468,0.0587,1.77
Braum,Support,SUPPORT,2,A,46.74,2.77,0.5073,0.994,0.0287,0.0039,2.79
Caitlyn,Marksman,ADC,1,God,88.48,-0.16,0.5009,0.987,0.213,0.1896,2.31
Camille,Fighter,TOP,3,God,84.61,9.6,0.502,0.968,0.0717,0.0754,1.99
Cassiopeia,Mage,MID,3,B,44.08,-2,0.503,0.719,0.0243,0.0136,2.09
Chogath,Tank,TOP,1,A,52.76,2.64,0.5282,0.7256,0.0259,0.0095,2.2
Corki,Marksman,MID,2,A,58.2,0.29,0.4938,0.9276,0.0679,0.0391,2.17
Darius,Fighter,TOP,2,God,83.96,16.49,0.5037,0.9585,0.0658,0.1517,1.87
Diana,Fighter,JUNGLE,1,God,82.96,44.71,0.5146,0.8398,0.1219,0.1281,2.49
Dr. Mundo,Marksman,TOP,1,S,62.73,-2.08,0.5176,0.9181,0.0406,0.0297,2.26
Draven,Fighter,ADC,2,B,46.38,-4.53,0.5052,0.959,0.063,0.1239,2.16
Ekko,Assassin,JUNGLE,3,A,55.93,-1.56,0.4991,0.6439,0.0616,0.0409,2.74
Elise,Mage,JUNGLE,2,B,40.59,-3.1,0.4948,0.9498,0.0222,0.0166,2.56
Evelynn,Assassin,JUNGLE,2,A,48.04,-1.54,0.4964,0.9886,0.0346,0.0885,2.94
Ezreal,Marksman,ADC,1,God,75.98,1.83,0.4928,0.9747,0.2007,0.052,2.39
Fiddlesticks,Mage,JUNGLE,2,B,46.01,-1.29,0.5054,0.9205,0.0291,0.0286,2.68
Fiora,Fighter,TOP,2,S,75.08,4.32,0.5005,0.9765,0.0608,0.1076,1.76
Fizz,Assassin,MID,2,A,52.25,1.44,0.5083,0.9626,0.0383,0.0453,2.46
Galio,Tank,MID,2,A,46.86,0.84,0.5038,0.6328,0.0228,0.0054,2.71
Gangplank,Fighter,TOP,3,S,65.59,14.31,0.4766,0.8734,0.0592,0.0444,1.99
Garen,Fighter,TOP,1,S,73.99,15.67,0.5155,0.8746,0.0574,0.0213,2.1
Gnar,Fighter,TOP,3,A,47.1,4.58,0.4986,0.9787,0.0305,0.006,2.01
Gragas,Fighter,TOP,2,C,37.47,-2.35,0.4875,0.3967,0.0196,0.0032,2.24
Graves,Marksman,JUNGLE,2,S,59.84,-9.95,0.4928,0.6707,0.0751,0.0944,2.58
Gwen,Fighter,TOP,2,A,54.66,13.03,0.4982,0.8283,0.0423,0.0243,1.73
Hecarim,Fighter,JUNGLE,2,S,71.27,12.91,0.5118,0.9923,0.0894,0.0804,3.02
Heimerdinger,Mage,SUPPORT,2,C,33.85,-1.74,0.4985,0.1009,0.002,0.0092,1.83
Illaoi,Fighter,TOP,2,C,34.11,-3.45,0.4916,0.9236,0.0207,0.0253,1.49
Irelia,Fighter,TOP,2,God,81.35,-5.02,0.491,0.6,0.0624,0.2351,1.58
Ivern,Support,JUNGLE,3,C,38.83,1.46,0.4809,0.8502,0.0121,0.0034,3.41
Janna,Support,SUPPORT,1,A,51.92,-3.82,0.5056,0.952,0.046,0.0057,3
Jarvan IV,Tank,JUNGLE,1,A,54.92,4.21,0.5104,0.9341,0.0422,0.0054,3.37
Jax,Fighter,TOP,1,God,82.16,3.63,0.5068,0.8579,0.0684,0.1098,1.63
Jayce,Fighter,TOP,2,S,73.56,-5.02,0.4944,0.7477,0.0654,0.0413,1.78
Jhin,Marksman,ADC,2,God,94.23,3.23,0.5103,0.9902,0.2455,0.0581,3.01
Jinx,Marksman,ADC,2,God,86.76,-1.22,0.5132,0.9951,0.2227,0.0698,2.43
Kaisa,Marksman,ADC,2,God,75.52,10.5,0.4948,0.9777,0.1945,0.0595,2.42
Kalista,Marksman,ADC,3,D,31.51,-0.06,0.4903,0.9141,0.0153,0.0027,2.3
Karma,Mage,SUPPORT,1,S,63.43,6.96,0.4891,0.9205,0.1022,0.0296,2.73
Karthus,Mage,JUNGLE,2,B,39.58,0.6,0.4939,0.578,0.0209,0.033,2.45
Kassadin,Assassin,MID,2,A,58.16,-7.74,0.5142,0.9704,0.0454,0.1443,2.49
Katarina,Assassin,MID,2,S,61.99,-0.88,0.4959,0.9472,0.0712,0.0989,2.29
Kayle,Fighter,TOP,2,A,48.25,-5.26,0.5071,0.7251,0.0311,0.0119,1.8
Kayn,Fighter,JUNGLE,2,S,69.12,1.38,0.4995,0.978,0.097,0.1218,2.41
Kennen,Mage,TOP,2,C,35.49,0.47,0.4862,0.835,0.02,0.007,1.98
KhaZix,Assassin,JUNGLE,2,S,60.25,-2.33,0.5017,0.9888,0.0747,0.0701,2.47
Kindred,Marksman,JUNGLE,3,B,46.69,-1.77,0.5047,0.9182,0.0387,0.0249,2.26
Kled,Fighter,TOP,2,B,40.27,-4.86,0.5036,0.8847,0.0169,0.0078,2.32
KogMaw,Marksman,ADC,2,B,39.8,-2.8,0.5279,0.8917,0.0198,0.0044,2.21
LeBlanc,Assassin,MID,2,A,59.14,-1.18,0.4885,0.9488,0.0579,0.1195,2.82
Lee Sin,Fighter,JUNGLE,2,God,91.89,0.28,0.4845,0.9661,0.1529,0.1626,2.82
Leona,Tank,SUPPORT,1,S,65.44,-0.99,0.4961,0.9942,0.0988,0.1397,2.34
Lillia,Fighter,JUNGLE,3,B,42.51,-1.69,0.4935,0.8539,0.0274,0.0095,2.66
Lissandra,Mage,MID,2,A,47.29,1.22,0.5065,0.9116,0.0272,0.0066,2.41
Lucian,Marksman,ADC,2,A,48.48,-7.7,0.4926,0.8634,0.0884,0.0312,2.25
Lulu,Support,SUPPORT,2,God,93.56,0.75,0.5084,0.9772,0.143,0.2568,3.12
Lux,Mage,SUPPORT,1,God,82.29,-6.67,0.5026,0.6848,0.1464,0.1226,2.53
Malphite,Tank,TOP,1,S,67.63,5.41,0.5119,0.7504,0.0468,0.0401,2.41
Malzahar,Mage,MID,1,A,49.57,5.18,0.5092,0.9135,0.0343,0.0303,2.22
